"PMID","Title","Authors","Citation","First Author","Journal/Book","Publication Year","Create Date","PMCID","NIHMS ID","DOI"
"35645948","B81 Bone Vibrator-Induced Vestibular-Evoked Myogenic Potentials: Normal Values and the Effect of Age","Zhang Y, Chen Z, Zhao H, Shen J, Zhong B, Wu Q, Yang J, Jin Y, Zhang Q, Ren P.","Front Neurol. 2022 May 11;13:881682. doi: 10.3389/fneur.2022.881682. eCollection 2022.","Zhang Y","Front Neurol","2022","2022/06/01","PMC9131004",,"10.3389/fneur.2022.881682"
"33577217","Comparison of Bone-Conducted Cervical VEMPs Elicited by B71 and B81 Bone Vibrators","Romero DJ, Piker EG, Thorne A, Clinard C.","Ear Hear. 2021 May/Jun;42(3):596-605. doi: 10.1097/AUD.0000000000000978.","Romero DJ","Ear Hear","2021","2021/02/12",,,"10.1097/AUD.0000000000000978"
"36090861","Effects of aging on ocular vestibular-evoked myogenic potential using ER-3A insert earphone and B81 bone vibrator","Xu Z, Wang Z, Zhong B, Wang M, Fan X, Ren C, Qi M, Lin Y, Zha D.","Front Neurol. 2022 Aug 25;13:956996. doi: 10.3389/fneur.2022.956996. eCollection 2022.","Xu Z","Front Neurol","2022","2022/09/12","PMC9453035",,"10.3389/fneur.2022.956996"
"33875696","Influence of bone conduction transducer type and placement on ocular and cervical vestibular evoked myogenic potentials","Fröhlich L, Wilke M, Plontke SK, Rahne T.","Sci Rep. 2021 Apr 19;11(1):8500. doi: 10.1038/s41598-021-87682-1.","Fröhlich L","Sci Rep","2021","2021/04/20","PMC8055867",,"10.1038/s41598-021-87682-1"
"31613822","Maximum Output and Low-Frequency Limitations of B71 and B81 Clinical Bone Vibrators: Implications for Vestibular Evoked Potentials","Clinard CG, Piker EG, Thorne AP, Surface EN, Anderson AE, Beacham VA, Crouse MC, Whitney VH, Depaolis RA.","Ear Hear. 2020 Jul/Aug;41(4):847-854. doi: 10.1097/AUD.0000000000000808.","Clinard CG","Ear Hear","2020","2019/10/16",,,"10.1097/AUD.0000000000000808"
"33735908","Age Effects of Bone Conduction Vibration Vestibular-evoked Myogenic Potentials (VEMPs) Using B81 and Impulse Hammer Stimuli","Patterson JN, Rodriguez AI, Gordon KR, Honaker JA, Janky KL.","Ear Hear. 2021 Sep/Oct;42(5):1328-1337. doi: 10.1097/AUD.0000000000001024.","Patterson JN","Ear Hear","2021","2021/03/18","PMC8387331","NIHMS1664447","10.1097/AUD.0000000000001024"
"28737551","Vibrotactile Thresholds on the Mastoid and Forehead Position of Deaf Patients Using Radioear B71 and B81","Fredén Jansson KJ, Håkansson B, Reinfeldt S, Fröhlich L, Rahne T.","Ear Hear. 2017 Nov/Dec;38(6):714-723. doi: 10.1097/AUD.0000000000000456.","Fredén Jansson KJ","Ear Hear","2017","2017/07/25",,,"10.1097/AUD.0000000000000456"
"25519145","Electro-acoustic performance of the new bone vibrator Radioear B81: a comparison with the conventional Radioear B71","Jansson KJ, Håkansson B, Johannsen L, Tengstrand T.","Int J Audiol. 2015 May;54(5):334-40. doi: 10.3109/14992027.2014.980521. Epub 2014 Dec 18.","Jansson KJ","Int J Audiol","2015","2014/12/19",,,"10.3109/14992027.2014.980521"
"33136651","Comparison of Thresholds Obtained With the Radioear B-71 and B-81 Bone-Conduction Transducers","Rao A, Altus B, Schroeder R, Margolis RH.","Ear Hear. 2020 Nov/Dec;41(6):1775-1778. doi: 10.1097/AUD.0000000000000873.","Rao A","Ear Hear","2020","2020/11/02",,,"10.1097/AUD.0000000000000873"
"25096153","Effect of bone-conduction harmonic distortions on hearing thresholds","Eichenauer A, Dillon H, Clinch B, Loi T.","J Acoust Soc Am. 2014 Aug;136(2):EL96-102. doi: 10.1121/1.4885771.","Eichenauer A","J Acoust Soc Am","2014","2014/08/07",,,"10.1121/1.4885771"
"23862903","Acoustic method for calibration of audiometric bone vibrators. II. Harmonic distortion","Ginter SM, Margolis RH.","J Acoust Soc Am. 2013 Jul;134(1):EL33-7. doi: 10.1121/1.4804944.","Ginter SM","J Acoust Soc Am","2013","2013/07/19","PMC3689822",,"10.1121/1.4804944"
"34308918","Bone conducted vibration is an effective stimulus for otolith testing in cochlear implant patients","Fröhlich L, Wilke M, Plontke SK, Rahne T.","J Vestib Res. 2022;32(4):355-365. doi: 10.3233/VES-210028.","Fröhlich L","J Vestib Res","2022","2021/07/26","PMC9398058",,"10.3233/VES-210028"
"30233258","VEMP using a new low-frequency bone conduction transducer","Håkansson B, Jansson KF, Tengstrand T, Johannsen L, Eeg-Olofsson M, Rigato C, Dahlström E, Reinfeldt S.","Med Devices (Auckl). 2018 Sep 6;11:301-312. doi: 10.2147/MDER.S171369. eCollection 2018.","Håkansson B","Med Devices (Auckl)","2018","2018/09/21","PMC6134943",,"10.2147/MDER.S171369"
"35822357","[Myotonia-rectified bone-conducted vibration vestibular evoked myogenic potential in normal adults]","Shen J, Jin Y, Ma X, Zhang Y, Chen J, Wang L, Shen M, Chen X, Zhang Q, Yang J.","Lin Chung Er Bi Yan Hou Tou Jing Wai Ke Za Zhi. 2022 Jun;36(6):414-419. doi: 10.13201/j.issn.2096-7993.2022.06.002.","Shen J","Lin Chung Er Bi Yan Hou Tou Jing Wai Ke Za Zhi","2022","2022/07/13",,,"10.13201/j.issn.2096-7993.2022.06.002"
